,5YR Real Yield,10YR Real Yield
2/1/2017,-0.4197,-0.168
3/1/2017,-0.2151,-0.0289
4/1/2017,-0.1229,-0.0196
5/1/2017,-0.0127,0.0916
6/1/2017,-0.0793,0.007
7/1/2017,-0.0348,0.0805
8/1/2017,-0.1483,-0.0073
9/1/2017,-0.2364,-0.1266
10/1/2017,-0.2367,-0.0862
11/1/2017,-0.6384,-0.4701
12/1/2017,-0.7451,-0.6112
1/1/2018,-0.9722,-0.8401
2/1/2018,-0.9502,-0.7987
3/1/2018,-0.7335,-0.6174
4/1/2018,-0.5674,-0.4654
5/1/2018,-0.6221,-0.5112
6/1/2018,-0.6161,-0.5187
7/1/2018,-0.7462,-0.6094
8/1/2018,-1.0087,-0.8624
9/1/2018,-0.981,-0.8475
10/1/2018,-0.9363,-0.6676
11/1/2018,-0.8381,-0.5992
12/1/2018,-0.7381,-0.6168
1/1/2019,-0.9172,-0.7535
2/1/2019,-0.9429,-0.8342
3/1/2019,-0.9454,-0.853
4/1/2019,-0.8844,-0.7979
5/1/2019,-0.8401,-0.7676
6/1/2019,-0.8046,-0.7882
7/1/2019,-0.9055,-0.9012
8/1/2019,-0.9723,-0.9852
9/1/2019,-0.991,-0.8854
10/1/2019,-1.0135,-0.9715
11/1/2019,-0.8831,-0.7913
12/1/2019,-0.6253,-0.5659
1/1/2020,-0.5923,-0.5171
2/1/2020,-0.5131,-0.4598
3/1/2020,-0.7036,-0.5816
4/1/2020,-0.6539,-0.5543
5/1/2020,-0.4779,-0.4072
6/1/2020,-0.4047,-0.3369
7/1/2020,-0.4475,-0.3786
8/1/2020,-0.2124,-0.1205
9/1/2020,-0.1054,0.0231
10/1/2020,0.1583,0.231
11/1/2020,0.2058,0.2753
12/1/2020,0.1417,0.2164
1/1/2021,-0.0904,-0.0165
2/1/2021,-0.0762,0.0333
3/1/2021,-0.1136,0.0024
4/1/2021,0.4257,0.5427
5/1/2021,0.2698,0.3812
6/1/2021,0.1124,0.2092
7/1/2021,-0.0091,0.0722
8/1/2021,0.0815,0.1667
9/1/2021,-0.0722,0.0434
10/1/2021,0.2134,0.3329
11/1/2021,0.1317,0.2728
12/1/2021,0.1416,0.2521
1/1/2022,0.1008,0.2322
2/1/2022,-0.1537,0.0036
3/1/2022,-0.3561,-0.2025
4/1/2022,-0.6288,-0.4116
5/1/2022,-0.7941,-0.61
6/1/2022,-0.9295,-0.7065
7/1/2022,-1.1336,-0.9179
8/1/2022,-1.271,-1.0933
9/1/2022,-1.6321,-1.3423
