,5YR Real Yield,5.25YR Real Yield
8/1/2010,2.2553,2.2773
9/1/2010,2.193,2.2168
10/1/2010,1.899,1.9184
11/1/2010,1.6758,1.6986
12/1/2010,1.6599,1.6862
1/1/2011,1.4492,1.4768
2/1/2011,1.332,1.3611
3/1/2011,1.3683,1.3967
4/1/2011,1.3688,1.398
5/1/2011,1.2016,1.2274
6/1/2011,1.1396,1.1657
7/1/2011,0.9792,1.0047
8/1/2011,1.0388,1.0621
9/1/2011,1.0286,1.0515
10/1/2011,0.7724,0.795
11/1/2011,0.9747,0.9968
12/1/2011,0.8251,0.8478
1/1/2012,0.7572,0.779
2/1/2012,0.6498,0.6714
3/1/2012,0.5606,0.5832
4/1/2012,0.4838,0.5052
5/1/2012,0.5933,0.6122
6/1/2012,0.7427,0.7611
7/1/2012,0.6045,0.6212
8/1/2012,0.5646,0.582
9/1/2012,0.6149,0.6322
10/1/2012,0.7594,0.776
11/1/2012,0.7473,0.7631
12/1/2012,0.6355,0.6513
1/1/2013,0.5487,0.5655
2/1/2013,0.6278,0.6444
3/1/2013,0.5368,0.5511
4/1/2013,0.4471,0.4591
5/1/2013,0.4964,0.5133
6/1/2013,0.4782,0.497
7/1/2013,0.361,0.3792
8/1/2013,0.2177,0.2342
9/1/2013,0.0013,0.0192
10/1/2013,-0.009,0.005
11/1/2013,-0.3494,-0.3355
12/1/2013,-0.3213,-0.306
1/1/2014,-0.1634,-0.1482
2/1/2014,-0.0914,-0.0777
3/1/2014,0.0091,0.0239
4/1/2014,-0.9608,-0.9471
5/1/2014,-1.3544,-1.3404
6/1/2014,-1.5839,-1.5695
7/1/2014,-1.8193,-1.8061
8/1/2014,-1.8287,-1.8165
9/1/2014,-1.8832,-1.8694
10/1/2014,-1.7563,-1.7435
11/1/2014,-1.7793,-1.7668
12/1/2014,-1.8165,-1.8065
1/1/2015,-1.764,-1.7568
2/1/2015,-1.7111,-1.7016
3/1/2015,-1.7495,-1.7403
4/1/2015,-1.8862,-1.8775
5/1/2015,-1.9475,-1.9372
6/1/2015,-1.7609,-1.7488
7/1/2015,-1.6165,-1.6051
8/1/2015,-1.5357,-1.5256
9/1/2015,-1.4585,-1.448
10/1/2015,-1.4056,-1.3973
11/1/2015,-1.257,-1.2461
12/1/2015,-1.1668,-1.1584
1/1/2016,-1.05,-1.0436
2/1/2016,-1.2576,-1.2535
3/1/2016,-1.2394,-1.2373
4/1/2016,-0.3824,-0.3779
5/1/2016,-0.2823,-0.2758
6/1/2016,-0.2886,-0.2844
7/1/2016,-0.1987,-0.1961
8/1/2016,0.0123,0.0178
9/1/2016,0.016,0.026
10/1/2016,-0.4026,-0.3955
11/1/2016,-0.5527,-0.5434
12/1/2016,-0.5005,-0.4853
1/1/2017,-0.3472,-0.3368
2/1/2017,-0.4197,-0.4071
3/1/2017,-0.2151,-0.2058
4/1/2017,-0.1229,-0.1178
5/1/2017,-0.0127,-0.0075
6/1/2017,-0.0793,-0.075
7/1/2017,-0.0348,-0.029
8/1/2017,-0.1483,-0.1412
9/1/2017,-0.2364,-0.2309
10/1/2017,-0.2367,-0.2292
11/1/2017,-0.6384,-0.63
12/1/2017,-0.7451,-0.7384
1/1/2018,-0.9722,-0.9656
2/1/2018,-0.9502,-0.9426
3/1/2018,-0.7335,-0.7277
4/1/2018,-0.5674,-0.5623
5/1/2018,-0.6221,-0.6166
6/1/2018,-0.6161,-0.6112
7/1/2018,-0.7462,-0.7394
8/1/2018,-1.0087,-1.0014
9/1/2018,-0.981,-0.9743
10/1/2018,-0.9363,-0.9229
11/1/2018,-0.8381,-0.8261
12/1/2018,-0.7381,-0.7321
1/1/2019,-0.9172,-0.9091
2/1/2019,-0.9429,-0.9375
3/1/2019,-0.9454,-0.9408
4/1/2019,-0.8844,-0.8801
5/1/2019,-0.8401,-0.8365
6/1/2019,-0.8046,-0.8038
7/1/2019,-0.9055,-0.9053
8/1/2019,-0.9723,-0.973
9/1/2019,-0.991,-0.9857
10/1/2019,-1.0135,-1.0114
11/1/2019,-0.8831,-0.8785
12/1/2019,-0.6253,-0.6224
1/1/2020,-0.5923,-0.5885
2/1/2020,-0.5131,-0.5104
3/1/2020,-0.7036,-0.6975
4/1/2020,-0.6539,-0.6489
5/1/2020,-0.4779,-0.4743
6/1/2020,-0.4047,-0.4014
7/1/2020,-0.4475,-0.444
8/1/2020,-0.2124,-0.2078
9/1/2020,-0.1054,-0.099
10/1/2020,0.1583,0.162
11/1/2020,0.2058,0.2093
12/1/2020,0.1417,0.1455
1/1/2021,-0.0904,-0.0867
2/1/2021,-0.0762,-0.0707
3/1/2021,-0.1136,-0.1078
4/1/2021,0.4257,0.4315
5/1/2021,0.2698,0.2753
6/1/2021,0.1124,0.1172
7/1/2021,-0.0091,-0.0051
8/1/2021,0.0815,0.0858
9/1/2021,-0.0722,-0.0664
10/1/2021,0.2134,0.2194
11/1/2021,0.1317,0.1388
12/1/2021,0.1416,0.1472
1/1/2022,0.1008,0.1074
2/1/2022,-0.1537,-0.1459
3/1/2022,-0.3561,-0.3484
4/1/2022,-0.6288,-0.6179
5/1/2022,-0.7941,-0.7849
6/1/2022,-0.9295,-0.9184
7/1/2022,-1.1336,-1.1228
8/1/2022,-1.271,-1.2621
9/1/2022,-1.6321,-1.6176
