,5YR INTERPOLATION,5.25 YR
4/1/2014,0.343694872,0.357405128
5/1/2014,0.317576923,0.331623077
6/1/2014,0.30504359,0.31945641
7/1/2014,0.283966667,0.297133333
8/1/2014,0.270133333,0.282366667
9/1/2014,0.265320513,0.279079487
10/1/2014,0.236587179,0.249312821
11/1/2014,0.219835897,0.232364103
12/1/2014,0.182638462,0.192661538
1/1/2015,0.128935897,0.136064103
2/1/2015,0.185797436,0.195302564
3/1/2015,0.195453846,0.204646154
4/1/2015,0.156476923,0.165123077
5/1/2015,0.196512821,0.206787179
6/1/2015,0.227820513,0.239879487
7/1/2015,0.212748718,0.224151282
8/1/2015,0.184538462,0.194661538
9/1/2015,0.153269231,0.163730769
10/1/2015,0.152938462,0.161261538
11/1/2015,0.095105128,0.105994872
12/1/2015,0.1323,0.1407
1/1/2016,0.095225641,0.101674359
2/1/2016,-0.060566667,-0.056433333
3/1/2016,-0.096469231,-0.094430769
4/1/2016,-0.177946154,-0.173353846
5/1/2016,-0.231351282,-0.224848718
6/1/2016,-0.237594872,-0.233405128
7/1/2016,-0.300689744,-0.298110256
8/1/2016,-0.191412821,-0.185887179
9/1/2016,-0.238138462,-0.228161538
10/1/2016,-0.199102564,-0.191997436
11/1/2016,-0.195815385,-0.186484615
12/1/2016,-0.245484615,-0.230215385
1/1/2017,-0.142869231,-0.132530769
2/1/2017,-0.163892308,-0.151307692
3/1/2017,-0.113005128,-0.103694872
4/1/2017,-0.072133333,-0.066966667
5/1/2017,-0.063407692,-0.058192308
6/1/2017,-0.028507692,-0.024192308
7/1/2017,-0.034782051,-0.029017949
8/1/2017,-0.097474359,-0.090425641
9/1/2017,-0.084194872,-0.078705128
10/1/2017,-0.084512821,-0.076987179
11/1/2017,-0.130007692,-0.121592308
12/1/2017,-0.084697436,-0.078002564
1/1/2018,-0.055202564,-0.048597436
2/1/2018,-0.084838462,-0.077261538
3/1/2018,-0.071702564,-0.065897436
4/1/2018,-0.059051282,-0.053948718
5/1/2018,-0.063623077,-0.058076923
6/1/2018,-0.056984615,-0.052115385
7/1/2018,-0.084471795,-0.077628205
8/1/2018,-0.043007692,-0.035692308
9/1/2018,-0.016235897,-0.009564103
10/1/2018,-0.128217949,-0.114782051
11/1/2018,-0.130620513,-0.118679487
12/1/2018,-0.079733333,-0.073666667
1/1/2019,-0.156394872,-0.148205128
2/1/2019,-0.130717949,-0.125282051
3/1/2019,-0.133210256,-0.128589744
4/1/2019,-0.125861538,-0.121538462
5/1/2019,-0.132661538,-0.129038462
6/1/2019,-0.146910256,-0.146089744
7/1/2019,-0.145407692,-0.145192308
8/1/2019,-0.213776923,-0.214423077
9/1/2019,-0.335238462,-0.329961538
10/1/2019,-0.207051282,-0.204948718
11/1/2019,-0.179246154,-0.174653846
12/1/2019,-0.073535897,-0.070564103
1/1/2020,-0.091030769,-0.087269231
2/1/2020,-0.111882051,-0.109217949
3/1/2020,-0.150648718,-0.144551282
4/1/2020,-0.100389744,-0.095410256
5/1/2020,-0.075866667,-0.072333333
6/1/2020,-0.052546154,-0.049153846
7/1/2020,-0.045071795,-0.041628205
8/1/2020,-0.062197436,-0.057602564
9/1/2020,-0.105412821,-0.098987179
10/1/2020,-0.041466667,-0.037833333
11/1/2020,-0.044487179,-0.041012821
12/1/2020,-0.059066667,-0.055333333
1/1/2021,-0.040297436,-0.036602564
2/1/2021,-0.026035897,-0.020564103
3/1/2021,-0.0133,-0.0075
4/1/2021,-0.025325641,-0.019474359
5/1/2021,-0.030684615,-0.025115385
6/1/2021,-0.038020513,-0.033179487
7/1/2021,-0.059233333,-0.055166667
8/1/2021,-0.068579487,-0.064320513
9/1/2021,-0.072189744,-0.066410256
10/1/2021,-0.035938462,-0.029961538
11/1/2021,-0.067476923,-0.060423077
12/1/2021,-0.057561538,-0.052038462
1/1/2022,0.001266667,0.007833333
2/1/2022,0.045466667,0.053333333
3/1/2022,0.041910256,0.049589744
4/1/2022,0.017820513,0.028679487
5/1/2022,0.051446154,0.060653846
6/1/2022,0.016923077,0.028076923
7/1/2022,0.009907692,0.020692308
8/1/2022,0.01935641,0.02824359
9/1/2022,-0.043146154,-0.028653846
