Date,SPY,TLT,FrankZ
8/17/2010,0.012285676,-0.005722339,-0.002861169
8/18/2010,0.001824522,0.002685958,0.001342979
8/19/2010,-0.017396593,0.015593651,0.007796826
8/20/2010,-0.003244521,-0.001130736,-0.000565368
8/23/2010,-0.003812789,0.00018863,9.43E-05
8/24/2010,-0.014842761,0.016028269,0.008014135
8/25/2010,0.003884675,-0.003247733,-0.001623866
8/26/2010,-0.006701638,0.00940316,0.00470158
8/27/2010,0.015489603,-0.028315292,-0.014157646
8/30/2010,-0.014505044,0.019173839,0.009586919
8/31/2010,0,0.011083268,0.005541634
9/1/2010,0.029911756,-0.02067698,-0.01033849
9/2/2010,0.009312311,-0.010565596,-0.005282798
9/3/2010,0.012971334,-0.012395314,-0.006197657
9/7/2010,-0.01127223,0.020467294,0.010233647
9/8/2010,0.007022706,-0.007946902,-0.003973451
9/9/2010,0.004619439,-0.019741122,-0.009870561
9/10/2010,0.005048677,-0.004571705,-0.002285852
9/13/2010,0.011123204,0.00488584,0.00244292
9/14/2010,-0.000621521,0.009628893,0.004814447
9/15/2010,0.003817406,-0.014834742,-0.007417371
9/16/2010,-0.000265167,-0.009875971,-0.004937985
9/17/2010,0.00037349,0.004048892,0.002024446
9/20/2010,0.015290054,0.005803465,0.002901733
9/21/2010,-0.002013715,0.013886232,0.006943116
9/22/2010,-0.004913152,0.008969823,0.004484911
9/23/2010,-0.008111053,0.002867808,0.001433904
9/24/2010,0.020621799,-0.013440369,-0.006720185
9/27/2010,-0.004789896,0.017391046,0.008695523
9/28/2010,0.003500107,0.00683772,0.00341886
9/29/2010,-0.001744114,-0.004149333,-0.002074667
9/30/2010,-0.002970054,-0.000663567,-0.000331784
10/1/2010,0.004205845,-0.004832592,-0.002416296
10/4/2010,-0.007503448,0.00258116,0.00129058
10/5/2010,0.020131559,-0.006007358,-0.003003679
10/6/2010,-8.63078E-05,0.01256587,0.006282935
10/7/2010,-0.001206278,-0.008335709,-0.004167854
10/8/2010,0.005608552,-0.004394832,-0.002197416
10/11/2010,0.00094392,0.000191547,9.58E-05
10/12/2010,0.003085938,-0.009880599,-0.0049403
10/13/2010,0.007777422,-0.001549808,-0.000774904
10/14/2010,-0.003901049,-0.014944766,-0.007472383
10/15/2010,0.002043262,-0.012215507,-0.006107754
10/18/2010,0.004928059,0.008078331,0.004039166
10/19/2010,-0.01310479,0.006035594,0.003017797
10/20/2010,0.00976648,0.00216234,0.00108117
10/21/2010,0.002205524,-0.011872798,-0.005936399
10/22/2010,0.001862196,0.006752741,0.003376371
10/25/2010,0.002957222,0.002860001,0.00143
10/26/2010,0.000168747,-0.015441438,-0.007720719
10/27/2010,-0.002864122,-0.008791618,-0.004395809
10/28/2010,0.000169278,0.002720953,0.001360476
10/29/2010,0.000760246,0.00934791,0.004673955
11/1/2010,0.000337445,-0.00430474,-0.00215237
11/2/2010,0.007930606,0.013142323,0.006571161
11/3/2010,0.004017454,-0.020400427,-0.010200214
11/4/2010,0.019258148,0.007784869,0.003892434
11/5/2010,0.003762178,-0.017152982,-0.008576491
11/8/2010,-0.001874075,0.004489847,0.002244924
11/9/2010,-0.007184183,-0.022047451,-0.011023725
11/10/2010,0.004029351,0.001350026,0.000675013
11/11/2010,-0.003767428,-0.00051823,-0.000259115
11/12/2010,-0.011838214,-0.005398118,-0.002699059
11/15/2010,-0.001414235,-0.020874892,-0.010437446
11/16/2010,-0.015579557,0.024836664,0.012418332
11/17/2010,0.000507672,-0.005511967,-0.002755983
11/18/2010,0.01471863,0.004078512,0.002039256
11/19/2010,0.002751112,0.006146104,0.003073052
11/22/2010,-0.000831789,0.00424476,0.00212238
11/23/2010,-0.01447667,0.004948836,0.002474418
11/24/2010,0.014773874,-0.017850423,-0.008925212
11/26/2010,-0.011647391,0.013892178,0.006946089
11/29/2010,0.003030323,0.008550706,0.004275353
11/30/2010,-0.005622338,0.005209175,0.002604587
12/1/2010,0.021267281,-0.022229436,-0.011114718
12/2/2010,0.012809066,-0.002606489,-0.001303245
12/3/2010,0.002692288,-0.007842297,-0.003921148
12/6/2010,-0.001057679,0.014122251,0.007061126
12/7/2010,0.00057015,-0.021407144,-0.010703572
12/8/2010,0.003663726,-0.009664126,-0.004832063
12/9/2010,0.00389361,0.004932381,0.00246619
12/10/2010,0.005817596,-0.006080916,-0.003040458
12/13/2010,0.000642647,0.003756957,0.001878478
12/14/2010,0.000883306,-0.014546056,-0.007273028
12/15/2010,-0.004572199,-0.013022898,-0.006511449
12/16/2010,0.005801657,0.006927244,0.003463622
12/17/2010,0.001071224,0.018236783,0.009118391
12/20/2010,0.002413765,-0.001072097,-0.000536049
12/21/2010,0.006339954,0.006978896,0.003489448
12/22/2010,0.003110154,-0.007143616,-0.003571808
12/23/2010,-0.001430991,-0.002040032,-0.001020016
12/27/2010,0.000398359,0.0089306,0.0044653
12/28/2010,0.001432631,-0.019583973,-0.009791986
12/29/2010,0.000715171,0.016918884,0.008459442
12/30/2010,-0.001588474,-0.000750583,-0.000375291
12/31/2010,0.000238642,0.011064645,0.005532323
1/3/2011,0.010338065,-0.007543903,0.001033807
1/4/2011,-0.000551019,0.001177579,-5.51E-05
1/5/2011,0.00519753,-0.022027446,0.000519753
1/6/2011,-0.001958385,0.004373597,-0.000195839
1/7/2011,-0.001962464,0.005334607,-0.000196246
1/10/2011,-0.001258579,0.005413865,-0.000125858
1/11/2011,0.003543857,-0.005600444,0.000354386
1/12/2011,0.00902468,-0.007798083,0.000902468
1/13/2011,-0.001633397,0.008950755,-0.00016334
1/14/2011,0.007244839,-0.00638331,0.000724484
1/18/2011,0.001701353,-0.004681767,0.000170135
1/19/2011,-0.009805345,0.007220271,-0.000980535
1/20/2011,-0.001325603,-0.013794339,-0.00013256
1/21/2011,0.002264147,0.007929932,0.000226415
1/24/2011,0.005686682,0.00043695,0.000568668
1/25/2011,0.000542269,0.009501915,5.42E-05
1/26/2011,0.003870754,-0.015146062,0.000387075
1/27/2011,0.002467844,0.004503602,0.000246784
1/28/2011,-0.017462866,0.005249012,-0.001746287
1/31/2011,0.007516253,-0.007614822,0.000751625
2/1/2011,0.016009033,-0.004950688,0.001600903
2/2/2011,-0.001912313,0.000221021,-0.000191231
2/3/2011,0.002222474,-0.00828981,0.000222247
2/4/2011,0.002829039,-0.010142964,0.000282904
2/7/2011,0.006252379,0.005179111,0.000625238
2/8/2011,0.004546882,-0.009185124,0.000454688
2/9/2011,-0.002263472,0.008705272,-0.000226347
2/10/2011,0.000378337,-0.011543449,3.78E-05
2/11/2011,0.005970344,0.014399723,0.000597034
2/14/2011,0.00240385,0.000671107,0.000240385
2/15/2011,-0.00314776,0.004468533,-0.000314776
2/16/2011,0.006315682,-0.003225561,0.000631568
2/17/2011,0.002988307,0.001562156,0.000298831
2/18/2011,0.002085589,-0.003119544,0.000208559
2/22/2011,-0.020069825,0.014974008,-0.002006983
2/23/2011,-0.006144336,0.003632416,-0.000614434
2/24/2011,-0.000686995,0.0063636,-6.87E-05
2/25/2011,0.010692609,0.005885495,0.001069261
2/28/2011,0.006196843,0.001300192,0.000619684
3/1/2011,-0.01667301,0.002899402,-0.001667301
3/2/2011,0.00213855,-0.01537231,0.000213855
3/3/2011,0.017224202,-0.00978649,0.00172242
3/4/2011,-0.007492177,0.008328298,-0.000749218
